 Projeção da População do Brasil por sexo e idade simples: 2000-2060
População residente por Idade simples e Ano
Sexo: Masculino
Período:2000-2025
"Idade simples";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"54 anos";612776;643015;672689;700686;727644;756397;786551;816671;846680;876465;906468;936327;966863;998662;1030521;1062076;1094276;1120823;1139146;1152047;1165948;1180257;1194543;1209517;1225623;1241983
"55 anos";576467;604494;634515;663989;691824;718643;747239;777228;807192;837049;866692;896576;926349;956792;988490;1020243;1051704;1083815;1110310;1128661;1141632;1155586;1169935;1184268;1199275;1215403
"56 anos";540343;567265;595063;624836;654091;681741;708401;736821;766624;796410;826096;855598;885357;915007;945327;976890;1008512;1039848;1071825;1098246;1116610;1129641;1143639;1158023;1172392;1187421
"57 anos";510047;531717;558414;585989;615519;644556;672024;698525;726765;756379;785987;815522;844895;874519;904047;934238;965663;997152;1028355;1060189;1086532;1104891;1117974;1132010;1146425;1160817
"58 anos";488262;501905;523420;549897;577255;606545;635366;662647;688990;717049;746477;775924;805320;834554;864046;893446;923506;954793;986140;1017203;1048889;1075142;1093489;1106618;1120684;1135120
"59 anos";472129;480469;494075;515438;541699;568842;597894;626502;653597;679777;707658;736917;766214;795468;824557;853916;883186;913119;944256;975453;1006374;1037901;1064058;1082396;1095557;1109648
"60 anos";456324;463037;471436;485010;506207;532224;559129;587917;616285;643180;669181;696858;725907;755001;784057;812957;842129;871224;900966;931898;962892;993612;1024923;1050946;1069238;1082419
"61 anos";442199;445958;452785;461254;474797;495813;521562;548200;576699;604807;631482;657277;684713;713499;742338;771147;799809;828745;857607;887104;917780;948510;978973;1010023;1035865;1054079
"62 anos";425846;432154;436085;443007;451543;465047;485878;511366;537743;565957;593804;620247;645817;673006;701530;730116;758678;787100;815797;844419;873669;904081;934545;964754;995540;1021198
"63 anos";404874;416173;422584;426668;433679;442269;455732;476379;501609;527725;555657;583236;609430;634770;661712;689979;718311;746628;774802;803259;831639;860642;890783;920985;950935;981457
"64 anos";381260;395676;406957;413461;417684;424768;433403;446822;467290;492261;518121;545765;573062;599008;624119;650813;678826;706901;734968;762895;791107;819243;847991;877867;907807;937497
"65 anos";359112;370648;384937;396179;402775;407154;414318;423002;436363;456613;481280;506807;534081;561025;586662;611490;637882;665575;693327;721081;748699;776603;804432;832869;862413;892025
"66 anos";337306;347192;358647;372775;383959;390650;395199;402449;411183;424469;444465;468757;493875;520710;547240;572507;597003;623032;650336;677705;705082;732331;759863;787328;815394;844540
"67 anos";317612;326102;335949;347315;361278;372401;379175;383876;391203;399973;413175;432902;456799;481511;507916;534038;558941;583105;608766;635683;662671;689672;716550;743717;770814;798508
"68 anos";301234;307062;315539;325333;336601;350406;361463;368311;373147;380537;389331;402424;421859;445365;469679;495659;521382;545925;569755;595052;621581;648192;674813;701328;728125;754861
"69 anos";286952;291233;297113;305564;315299;326468;340114;351106;358016;362973;370410;379200;392157;411298;434421;458344;483910;509238;533423;556919;581856;607999;634233;660480;686632;713066
"70 anos";272556;275352;279721;285627;294010;303641;314668;328098;338975;345919;350984;358417;367146;379908;398671;421306;444737;469777;494593;518308;541370;565833;591476;617218;642980;668653
"71 anos";258751;259470;262408;266845;272753;281031;290516;301352;314502;325225;332174;337308;344687;353313;365825;384126;406179;429015;453416;477617;500762;523284;547166;572203;597339;622507
"72 anos";243385;246332;247277;250334;254818;260716;268886;278227;288874;301748;312303;319231;324388;331704;340220;352481;370333;391822;414075;437851;461449;484033;506024;529341;553783;578330
"73 anos";225240;231706;234758;235899;239056;243572;249453;257513;266706;277160;289764;300135;307005;312172;319412;327815;339828;357244;378178;399861;423029;446035;468073;489542;512304;536166
"74 anos";205493;214434;220823;223959;225272;228508;233053;238904;246855;255896;266155;278477;288644;295448;300609;307767;316048;327816;344802;365194;386325;408899;431326;452830;473792;496010
"75 anos";186614;193419;202076;208341;211540;213017;216314;220859;226641;234424;243246;253231;265180;275074;281776;286906;293947;302062;313509;329957;349680;370124;391961;413672;434511;454834
"76 anos";168209;173509;180081;188393;194488;197726;199356;202697;207205;212880;220435;228972;238607;250101;259669;266230;271308;278192;286090;297148;312959;331893;351522;372492;393359;413405
"77 anos";150729;156395;161543;167886;175864;181788;185048;186807;190166;194623;200180;207506;215758;225046;236102;245346;251756;256768;263482;271163;281842;297039;315214;334065;354201;374255
"78 anos";134685;140142;145606;150601;156722;164380;170133;173398;175257;178618;183014;188442;195538;203506;212455;223084;232015;238272;243198;249739;257201;267508;282113;299558;317663;337001
"79 anos";119870;125224;130475;135740;140583;146486;153840;159421;162679;164617;167963;172285;177575;184439;192127;200748;210965;219587;225681;230519;236880;244123;254067;268101;284851;302239
"80 anos";105647;109482;114578;119598;124644;129315;134975;141989;147376;150617;152640;155939;160142;165243;171806;179143;187358;197071;205303;211171;215880;222007;228958;238455;251800;267707
"81 anos";92247;94579;98242;103053;107810;112615;117096;122484;129120;134287;137507;139589;142802;146841;151705;157911;164834;172567;181692;189460;195055;199585;205424;212030;220998;233541
"82 anos";79881;82584;84868;88359;92891;97397;101967;106258;111381;117650;122595;125746;127827;130941;134816;139444;145310;151832;159113;167679;175011;180338;184686;190242;196516;204981
"83 anos";68636;71514;74104;76332;79650;83915;88183;92522;96619;101485;107404;112107;115151;117209;120218;123922;128324;133863;140005;146858;154902;161814;166879;171043;176328;182281
"84 anos";58587;61448;64171;66643;68804;71954;75972;80011;84121;88028;92646;98213;102656;105586;107610;110506;114044;118225;123447;129232;135677;143234;149745;154560;158536;163559
"85 anos";49822;51250;53891;56415;58735;60789;63729;67446;71206;75039;78701;82992;88121;92250;95029;96990;99739;103065;106975;111818;117178;123144;130125;136163;140666;144414
"86 anos";42409;42436;43776;46159;48454;50586;52500;55195;58575;62005;65516;68871;72771;77413;81181;83775;85642;88211;91290;94886;99301;104180;109606;115938;121445;125588
"87 anos";36434;36122;36249;37497;39645;41732;43691;45470;47937;51010;54136;57332;60385;63926;68125;71564;73974;75743;78133;80978;84278;88299;92739;97672;103415;108434
"88 anos";31977;31031;30854;31046;32207;34147;36046;37842;39492;41749;44537;47372;50269;53045;56254;60054;63190;65424;67090;69306;71927;74952;78613;82651;87140;92348
"89 anos";29116;27234;26501;26424;26666;27742;29493;31220;32871;34394;36453;38975;41536;44156;46679;49587;53026;55882;57945;59508;61561;63968;66737;70075;73744;77824
"90 anos e mais";103543;103926;103223;102638;102692;103456;105483;109147;114137;120175;126957;134638;143286;152780;163055;173888;185523;198366;211755;224920;237432;249845;262490;275637;289702;304811
"Total";86169657;87336165;88480530;89601782;90698483;91769282;92813167;93829262;94816963;95776055;96706703;97610297;98487258;99336858;100159507;100955522;101726102;102471274;103189829;103881681;104546709;105183853;105792687;106373562;106926006;107449726
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil por sexo e idade para o período 2000-2060
 
