 Projeção da População do Brasil por sexo e idade simples: 2000-2060
População residente por Idade simples e Ano
Sexo: Feminino
Período:2000-2025
"Idade simples";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"84 anos";90410;94794;98994;102915;106516;111541;117857;124427;131414;138332;146130;155268;162796;167993;171829;176781;182427;189136;197665;207210;217419;228980;239028;246543;252762;260343
"85 anos";78878;81313;85447;89420;93148;96588;101325;107245;113408;119959;126458;133822;142443;149597;154618;158391;163193;168638;175070;183186;192254;201946;212905;222474;229695;235710
"86 anos";68547;69182;71504;75321;79010;82480;85705;90085;95523;101190;107213;113239;120106;128116;134825;139621;143296;147901;153097;159191;166818;175325;184408;194664;203662;210525
"87 anos";59495;60120;60839;63036;66555;69966;73186;76199;80242;85233;90441;96009;101636;108030;115469;121753;126319;129877;134273;139216;144977;152140;160113;168622;178219;186672
"88 anos";51779;52183;52873;53637;55702;58941;62089;65072;67874;71601;76184;80992;86171;91417;97368;104277;110157;114493;117916;122102;126793;132230;138950;146418;154388;163362
"89 anos";45475;45412;45889;46612;47398;49333;52309;55212;57965;60572;64001;68228;72697;77509;82396;87931;94349;99847;103949;107230;111209;115648;120771;127076;134069;141531
"90 anos e mais";180924;186470;191771;197362;203432;209971;217912;227950;239726;252883;267130;282908;300584;320111;341555;364745;390047;417970;447381;476883;505777;534802;564381;595070;627780;662856
"Total";87278689;88549064;89795598;91017326;92213004;93381524;94521970;95633493;96715476;97767914;98791094;99786721;100755204;101695856;102609055;103495127;104355330;105189655;105996973;106777332;107530666;108256605;108954822;109625162;110267087;110880288
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil por sexo e idade para o período 2000-2060
 
